"","Year","Value","Biological_Comp","Gender"
"222",12,247149.16,"CIN1","Women"
"223",13,229917.07,"CIN1","Women"
"224",14,215883.31,"CIN1","Women"
"225",15,205272.76,"CIN1","Women"
"226",16,198059.93,"CIN1","Women"
"227",17,194063.38,"CIN1","Women"
"228",18,193013.71,"CIN1","Women"
"229",19,194593.62,"CIN1","Women"
"230",20,198456.36,"CIN1","Women"
"231",21,204232.11,"CIN1","Women"
"232",22,211531.67,"CIN1","Women"
"233",23,219953.45,"CIN1","Women"
"234",24,229095.93,"CIN1","Women"
"235",25,238575.18,"CIN1","Women"
"236",26,248044.49,"CIN1","Women"
"237",27,257212.78,"CIN1","Women"
"238",28,265858,"CIN1","Women"
"239",29,273833.2,"CIN1","Women"
"240",30,281064.43,"CIN1","Women"
"241",1,0,"CIN23","Men"
"242",2,0,"CIN23","Men"
"243",3,0,"CIN23","Men"
"244",4,0,"CIN23","Men"
"245",5,0,"CIN23","Men"
"246",6,0,"CIN23","Men"
"247",7,0,"CIN23","Men"
"248",8,0,"CIN23","Men"
"249",9,0,"CIN23","Men"
"250",10,0,"CIN23","Men"
"251",11,0,"CIN23","Men"
"252",12,0,"CIN23","Men"
"253",13,0,"CIN23","Men"
"254",14,0,"CIN23","Men"
"255",15,0,"CIN23","Men"
"256",16,0,"CIN23","Men"
"257",17,0,"CIN23","Men"
"258",18,0,"CIN23","Men"
"259",19,0,"CIN23","Men"
"260",20,0,"CIN23","Men"
"261",21,0,"CIN23","Men"
"262",22,0,"CIN23","Men"
"263",23,0,"CIN23","Men"
"264",24,0,"CIN23","Men"
"265",25,0,"CIN23","Men"
"266",26,0,"CIN23","Men"
"267",27,0,"CIN23","Men"
"268",28,0,"CIN23","Men"
"269",29,0,"CIN23","Men"
"270",30,0,"CIN23","Men"
"271",1,76206.82,"CIN23","Women"
"272",2,70721.07,"CIN23","Women"
"273",3,64688.8,"CIN23","Women"
"274",4,58621.67,"CIN23","Women"
"275",5,52945.19,"CIN23","Women"
"276",6,47872.76,"CIN23","Women"
"277",7,43392.64,"CIN23","Women"
"278",8,39403.48,"CIN23","Women"
"279",9,35802.32,"CIN23","Women"
"280",10,32511.93,"CIN23","Women"
"281",11,29481.89,"CIN23","Women"
"282",12,26689.26,"CIN23","Women"
"283",13,24155.58,"CIN23","Women"
"284",14,21915.66,"CIN23","Women"
"285",15,19998.32,"CIN23","Women"
"286",16,18420.78,"CIN23","Women"
"287",17,17187.54,"CIN23","Women"
"288",18,16291.4,"CIN23","Women"
"289",19,15715.03,"CIN23","Women"
"290",20,15432.53,"CIN23","Women"
"291",21,15410.67,"CIN23","Women"
"292",22,15610.36,"CIN23","Women"
"293",23,15988.45,"CIN23","Women"
"294",24,16499.95,"CIN23","Women"
"295",25,17100.56,"CIN23","Women"
"296",26,17749.16,"CIN23","Women"
"297",27,18410.09,"CIN23","Women"
"298",28,19054.71,"CIN23","Women"
"299",29,19662.27,"CIN23","Women"
"300",30,20219.86,"CIN23","Women"
"301",1,0,"Cancer","Men"
"302",2,0,"Cancer","Men"
"303",3,0,"Cancer","Men"
"304",4,0,"Cancer","Men"
"305",5,0,"Cancer","Men"
"306",6,0,"Cancer","Men"
"307",7,0,"Cancer","Men"
"308",8,0,"Cancer","Men"
"309",9,0,"Cancer","Men"
"310",10,0,"Cancer","Men"
"311",11,0,"Cancer","Men"
"312",12,0,"Cancer","Men"
"313",13,0,"Cancer","Men"
"314",14,0,"Cancer","Men"
"315",15,0,"Cancer","Men"
"316",16,0,"Cancer","Men"
"317",17,0,"Cancer","Men"
"318",18,0,"Cancer","Men"
"319",19,0,"Cancer","Men"
"320",20,0,"Cancer","Men"
"321",21,0,"Cancer","Men"
"322",22,0,"Cancer","Men"
"323",23,0,"Cancer","Men"
"324",24,0,"Cancer","Men"
"325",25,0,"Cancer","Men"
"326",26,0,"Cancer","Men"
"327",27,0,"Cancer","Men"
"328",28,0,"Cancer","Men"
"329",29,0,"Cancer","Men"
"330",30,0,"Cancer","Men"
"331",1,717.85,"Cancer","Women"
"332",2,1098.59,"Cancer","Women"
"333",3,1256.23,"Cancer","Women"
"334",4,1283.91,"Cancer","Women"
"335",5,1241.61,"Cancer","Women"
"336",6,1165.73,"Cancer","Women"
"337",7,1076.53,"Cancer","Women"
"338",8,984.31,"Cancer","Women"
"339",9,894.08,"Cancer","Women"
"340",10,808.18,"Cancer","Women"
"341",11,727.66,"Cancer","Women"
"342",12,652.92,"Cancer","Women"
"343",13,584.3,"Cancer","Women"
"344",14,522.35,"Cancer","Women"
"345",15,467.7,"Cancer","Women"
"346",16,420.88,"Cancer","Women"
"347",17,382.24,"Cancer","Women"
"348",18,351.85,"Cancer","Women"
"349",19,329.52,"Cancer","Women"
"350",20,314.77,"Cancer","Women"
"351",21,306.92,"Cancer","Women"
"352",22,305.03,"Cancer","Women"
"353",23,308.09,"Cancer","Women"
"354",24,314.97,"Cancer","Women"
"355",25,324.56,"Cancer","Women"
"356",26,335.82,"Cancer","Women"
"357",27,347.84,"Cancer","Women"
"358",28,359.9,"Cancer","Women"
"359",29,371.44,"Cancer","Women"
"360",30,382.12,"Cancer","Women"
